x	y
8.35	0.671591559
8.4	0.620278775
8.45	0.566944324
8.5	0.512058701
8.55	0.456109982
8.6	0.399599097
8.65	0.34303497
8.7	0.286929575
8.75	0.231792952
8.8	0.178128237
8.85	0.126426756
8.9	0.077163225
8.95	0.030791113
9	-0.012261789
9.05	-0.051597558
9.1	-0.086852035
9.15	-0.117698386
9.2	-0.143850307
9.25	-0.165064833
9.3	-0.181144714
9.35	-0.191940354
9.4	-0.197351274
9.45	-0.197327101
9.5	-0.19186806
9.55	-0.181024972
9.6	-0.164898757
9.65	-0.143639442
9.7	-0.117444691
9.75	-0.086557867
9.8	-0.051265646
9.85	-0.011895206
9.9	0.031188974
9.95	0.077588689
10	0.126875904
